created_at,entry_id,field1,latitude,longitude,elevation,status
2026-02-06T04:43:22+00:00,1,-0.09775,,,,
2026-02-06T04:43:44+00:00,2,-0.09775,,,,
2026-02-06T04:44:06+00:00,3,-0.09775,,,,
2026-02-06T04:44:27+00:00,4,-0.09775,,,,
2026-02-06T04:44:49+00:00,5,-0.09775,,,,
2026-02-06T04:45:11+00:00,6,4.88759,,,,
2026-02-06T04:45:33+00:00,7,4.69208,,,,
2026-02-06T04:45:54+00:00,8,-0.09775,,,,
2026-02-06T04:46:16+00:00,9,-0.09775,,,,
2026-02-06T04:46:37+00:00,10,37.73216,,,,
2026-02-06T04:46:59+00:00,11,38.70968,,,,
2026-02-06T04:47:20+00:00,12,39.88270,,,,
2026-02-06T04:47:42+00:00,13,31.28055,,,,
2026-02-06T04:48:03+00:00,14,27.17498,,,,
2026-02-06T04:48:25+00:00,15,27.66373,,,,
2026-02-06T04:48:46+00:00,16,28.25024,,,,
2026-02-06T04:49:08+00:00,17,28.64125,,,,
2026-02-06T04:49:33+00:00,18,29.03226,,,,
2026-02-06T04:49:54+00:00,19,29.52102,,,,
2026-02-06T04:50:15+00:00,20,30.40078,,,,
2026-02-06T04:50:36+00:00,21,30.59628,,,,
2026-02-06T04:50:58+00:00,22,30.79179,,,,
2026-02-06T04:51:19+00:00,23,31.08504,,,,
2026-02-06T04:51:41+00:00,24,31.28055,,,,
2026-02-06T04:52:02+00:00,25,31.37830,,,,
2026-02-06T04:52:24+00:00,26,32.25806,,,,
2026-02-06T04:52:45+00:00,27,34.50636,,,,
2026-02-06T04:53:06+00:00,28,34.89736,,,,
2026-02-06T04:53:28+00:00,29,34.79961,,,,
